n k nu derived_mean derived_median derived_p95 derived_p99 derived_max
24 8 5 0 0.0 0 0 0
30 10 5 0 0.0 0 0 0
36 12 5 0 0.0 0 0 0
48 16 5 0 0.0 0 0 0
60 20 5 0 0.0 0 0 0
