n k ell nu derived_mean derived_median derived_p95 derived_p99 derived_max
24 8 1 34 0 0.0 0 0 0
30 10 1 43 0 0.0 0 0 0
36 12 1 52 0 0.0 0 0 0
48 16 1 70 0 0.0 0 0 0
60 20 1 88 0 0.0 0 0 0
