n p nu prob
4 2 2 0.631
4 2 3 0.313
4 2 4 0.176
4 2 5 0.103
4 2 6 0.052
4 2 7 0.03
4 2 8 0.009
6 2 2 0.566
6 2 3 0.159
6 2 4 0.085
6 2 5 0.036
6 2 6 0.024
6 2 7 0.005
6 2 8 0.003
8 2 2 0.598
8 2 3 0.183
8 2 4 0.041
8 2 5 0.041
8 2 6 0.008
8 2 7 0.009
8 2 8 0.003
10 2 2 0.598
10 2 3 0.167
10 2 4 0.068
10 2 5 0.035
10 2 6 0.017
10 2 7 0.001
10 2 8 0.006
12 2 2 0.599
12 2 3 0.154
12 2 4 0.062
12 2 5 0.049
12 2 6 0.016
12 2 7 0.006
12 2 8 0.003
