n p nu prob
4 3 2 0.487
4 5 2 0.182
4 7 2 0.159
4 11 2 0.111
4 13 2 0.072
4 17 2 0.052
8 3 2 0.372
8 5 2 0.195
8 7 2 0.165
8 11 2 0.091
8 13 2 0.083
8 17 2 0.07
12 3 2 0.352
12 5 2 0.201
12 7 2 0.136
12 11 2 0.092
12 13 2 0.087
12 17 2 0.055
16 3 2 0.36
16 5 2 0.186
16 7 2 0.134
16 11 2 0.087
16 13 2 0.078
16 17 2 0.063
