case,n,k,rate,nu,binary_rows,structural_kernel_dimension,target_rank,instance,source,rank_matrix,kernel_dimension,expected_kernel_dimension,deficiency
self_orthogonal,20,5,0.25,6,450,21,379,0,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,1,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,2,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,3,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,4,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,5,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,6,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,7,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,8,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,9,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,10,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,11,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,12,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,13,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,14,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,15,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,16,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,17,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,18,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,19,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,20,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,21,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,22,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,23,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,24,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,25,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,26,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,27,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,28,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,29,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,30,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,31,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,32,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,33,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,34,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,35,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,36,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,37,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,38,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,39,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,40,pep_derived,379,21,21,0
self_orthogonal,20,5,0.25,6,450,21,379,41,pep_derived,379,21,21,0
