n k nu derived_mean derived_median derived_p95 derived_p99 derived_max
20 10 5 0 0.0 0 0 0
24 12 5 0 0.0 0 0 0
32 16 5 0 0.0 0 0 0
48 24 5 0 0.0 0 0 0
64 32 5 0 0.0 0 0 0
